file_name,video_length,file_size,resolution,avg_rgb,bit_depth,bit_rate,frame_rate,psnr,ssim,encoding_time
video10.mp4,27.243,3561483,"(960, 540)","(144.83748842592593, 129.01155092592592, 113.05803240740741)",8,1037219,25.0,35.724668,0.989806,4.8960120677948
video8.mp4,12.679,666834,"(1280, 576)","(133.2162570529514, 112.39920654296876, 108.08005777994792)",8,409404,30.0,28.891322,0.975133,2.0896430015563965
video14.mp4,10.044,1992148,"(1024, 576)","(105.95069037543402, 102.88011847601996, 106.8103315565321)",8,1449233,29.97,31.749508,0.977245,2.977935552597046
video1.mp4,24.2,1833632,"(2732, 848)","(16.764064183402855, 16.852209315174452, 17.107251754192106)",8,542354,30.0,27.046755,0.889438,8.67858624458313
video11.mp4,181.034,41240151,"(1280, 630)","(125.36892733134921, 129.16049851190476, 108.33121031746032)",8,1682641,30.0,33.290361,0.98653,48.24056959152222
video5.mp4,9.814,1974905,"(1280, 720)","(107.99778645833334, 110.94848307291667, 120.136474609375)",8,1469712,29.97002997002997,31.381539,0.95571,3.0072500705718994
video7.mp4,8.278,646649,"(1280, 720)","(74.60500868055556, 82.25012152777778, 107.29688910590278)",8,612875,29.97002997002997,33.476608,0.985665,1.941859483718872
video12.mp4,35.765,15642046,"(720, 1280)","(133.18905598958332, 131.009306640625, 128.45041341145833)",8,3362616,29.666666666666668,32.252661,0.96997,14.083173513412476
video13.mp4,11.703,2326952,"(576, 1024)","(104.9657474093967, 116.35137261284721, 122.73671468098958)",8,1449603,60.0,32.87818,0.982639,5.159703254699707
video15.mp4,10.048,4527734,"(1280, 720)","(122.53851345486112, 113.57131618923611, 106.60729817708334)",8,3598216,25.0,32.843654,0.976727,4.088564395904541
video2.mp4,308.06,26728586,"(640, 360)","(49.05561197916666, 113.81288194444444, 80.52253038194445)",8,557988,25.0,31.256914,0.925098,29.141995429992676
video4.mp4,6.23,469925,"(1280, 720)","(89.37114691840277, 68.01892469618056, 80.45268012152778)",8,468131,23.976023976023978,32.869706,0.986405,1.2114777565002441
video3.mp4,117.967,6229554,"(1364, 768)","(20.645544087548878, 23.220618165017108, 22.036848767412025)",8,419786,30.0,28.254364,0.93271,18.68666648864746
video9.mp4,8.854,1028072,"(960, 540)","(135.1581462191358, 125.08208140432099, 114.36674961419753)",8,920747,25.0,34.399709,0.989661,1.6700539588928223
video6.mp4,9.195,1408081,"(1280, 720)","(103.21152994791667, 114.90589735243056, 113.64095160590277)",8,1086514,29.97002997002997,31.346514,0.97342,2.5027666091918945
