file_name,video_length,file_size,resolution,avg_rgb,bit_depth,bit_rate,frame_rate,psnr,ssim,encoding_time
video10.mp4,27.243,3879365,"(960, 540)","(144.78462770061728, 129.02521412037038, 113.01269097222223)",8,1130577,25.0,35.82221,0.990676,4.701684474945068
video8.mp4,12.679,684250,"(1280, 576)","(133.18916015625, 112.4157701280382, 108.04571397569445)",8,420404,30.0,28.892513,0.974004,2.0501604080200195
video14.mp4,10.044,2348218,"(1024, 576)","(105.92703755696614, 102.87360127766927, 106.79025438096788)",8,1732859,29.97,31.860299,0.979015,2.666639804840088
video1.mp4,24.2,2230590,"(2732, 848)","(16.760639106052654, 16.853274607033345, 17.10622703665847)",8,673579,30.0,27.051401,0.889671,8.865103006362915
video11.mp4,181.034,47803887,"(1280, 630)","(125.33444816468254, 129.1951066468254, 108.2865302579365)",8,1972697,30.0,33.335058,0.986436,50.95107674598694
video5.mp4,9.814,2253177,"(1280, 720)","(107.96822699652778, 110.96881076388888, 120.11448133680555)",8,1696646,29.97002997002997,31.453874,0.956361,3.0620672702789307
video7.mp4,8.278,702686,"(1280, 720)","(74.53040473090277, 82.26153428819444, 107.26534939236112)",8,667050,29.97002997002997,33.48698,0.985,1.9973387718200684
video12.mp4,35.765,20460694,"(720, 1280)","(133.15914279513888, 131.0329937065972, 128.41715928819445)",8,4440492,29.666666666666668,32.46664,0.975485,14.268884181976318
video13.mp4,11.703,2784033,"(576, 1024)","(104.91609361436632, 116.3753441704644, 122.66485595703125)",8,1762583,60.0,33.029826,0.984927,4.879253149032593
video15.mp4,10.048,5419070,"(1280, 720)","(122.48467013888889, 113.57488606770833, 106.582646484375)",8,4308444,25.0,32.985081,0.979258,3.62687611579895
video2.mp4,308.06,30600823,"(640, 360)","(48.98831163194444, 113.82144097222222, 80.48841145833333)",8,658552,25.0,31.345147,0.926068,29.825167179107666
video4.mp4,6.23,489555,"(1280, 720)","(89.32361545138889, 68.04167860243055, 80.41261176215278)",8,493401,23.976023976023978,32.875009,0.985551,1.3008997440338135
video3.mp4,117.967,6399052,"(1364, 768)","(20.646975997372923, 23.220950368096286, 22.036909862231184)",8,431280,30.0,28.252887,0.932327,18.985490083694458
video9.mp4,8.854,1107782,"(960, 540)","(135.1101601080247, 125.09863233024691, 114.32600887345679)",8,992883,25.0,34.462236,0.990331,1.6971070766448975
video6.mp4,9.195,1588037,"(1280, 720)","(103.18011827256944, 114.92689127604167, 113.59906467013889)",8,1243409,29.97002997002997,31.405455,0.973847,2.589674234390259
