file_name,video_length,file_size,resolution,avg_rgb,bit_depth,bit_rate,frame_rate,psnr,ssim,encoding_time
video10.mp4,27.243,1354438,"(960, 540)","(144.86243055555556, 128.95171875, 113.07707368827161)",,388069,25.0,35.46035,0.983562,22.308619022369385
video8.mp4,12.679,370676,"(1280, 576)","(133.19708523220487, 112.38025580512154, 108.08804253472222)",,220687,30.0,28.839866,0.968429,10.27053451538086
video14.mp4,10.044,1206280,"(1024, 576)","(105.8429243299696, 102.77559916178384, 106.74862162272134)",,821067,29.97,31.553367,0.969182,10.84882378578186
video1.mp4,24.2,1588902,"(2732, 848)","(16.759023039310478, 16.85364236581121, 17.102182553385454)",,460415,30.0,27.04771,0.88929,33.8492476940155
video11.mp4,181.034,22621058,"(1280, 630)","(125.3392435515873, 129.1584623015873, 108.24767485119048)",,858328,30.0,32.977104,0.973653,388.013135433197
video5.mp4,9.814,1161438,"(1280, 720)","(107.90706597222223, 110.91220594618055, 120.142724609375)",,804118,29.97002997002997,31.219566,0.950092,14.346765756607056
video7.mp4,8.278,371109,"(1280, 720)","(74.60446831597223, 82.23416124131944, 107.29745442708334)",,343745,29.97002997002997,33.255698,0.977447,8.436856746673584
video12.mp4,35.765,7823605,"(720, 1280)","(133.32699978298612, 130.95359375, 128.43279188368055)",,1612735,29.666666666666668,31.850507,0.953487,74.26847004890442
video13.mp4,11.703,1323231,"(576, 1024)","(104.96996561686197, 116.31047905815971, 122.65865071614583)",,760069,60.0,32.523023,0.971213,22.288055658340454
video15.mp4,10.048,2273240,"(1280, 720)","(122.43913194444444, 113.571962890625, 106.51632921006944)",,1799662,25.0,32.420759,0.963383,19.58259129524231
video2.mp4,308.06,19658248,"(640, 360)","(48.95858940972222, 113.83885850694445, 80.35931423611112)",,374033,25.0,30.973765,0.914523,199.5706913471222
video4.mp4,6.23,332926,"(1280, 720)","(89.33219292534723, 67.97961371527778, 80.44336697048611)",,288410,23.976023976023978,32.606626,0.978293,4.596153974533081
video3.mp4,117.967,2608243,"(1364, 768)","(20.668412642045453, 23.22697966306207, 22.060122075085534)",,173605,30.0,28.226751,0.928591,89.3589289188385
video9.mp4,8.854,399681,"(960, 540)","(135.085106095679, 125.00810763888889, 114.38222029320988)",,349594,25.0,34.226136,0.983571,8.071674108505249
video6.mp4,9.195,807384,"(1280, 720)","(103.11876193576389, 114.88344292534723, 113.58449978298611)",,560440,29.97002997002997,31.204654,0.968247,11.133864402770996
