file_name,video_length,file_size,resolution,avg_rgb,bit_depth,bit_rate,frame_rate,psnr,ssim,encoding_time
video10.mp4,27.243,3109790,"(960, 540)","(144.86169367283952, 129.01967399691358, 113.05164158950618)",8,904554,25.0,35.736242,0.990121,24.71576690673828
video8.mp4,12.679,622411,"(1280, 576)","(133.25640869140625, 112.40474989149305, 108.08026529947917)",8,381483,30.0,28.889734,0.97506,11.08599305152893
video14.mp4,10.044,1878834,"(1024, 576)","(105.91769239637586, 102.86082119411891, 106.78644476996527)",8,1358973,29.97,31.812349,0.979203,12.488137483596802
video1.mp4,24.2,1704438,"(2732, 848)","(16.760932190806376, 16.852829152739027, 17.106460554849583)",8,499724,30.0,27.046995,0.889467,41.690152168273926
video11.mp4,181.034,37875396,"(1280, 630)","(125.37959201388888, 129.1669208829365, 108.34993303571429)",8,1533928,30.0,33.270579,0.985624,300.14052987098694
video5.mp4,9.814,1832817,"(1280, 720)","(108.00337131076388, 110.96060763888889, 120.13734809027778)",8,1353837,29.97002997002997,31.382018,0.955524,15.411982774734497
video7.mp4,8.278,598113,"(1280, 720)","(74.60321072048612, 82.26280815972223, 107.30576497395833)",8,565927,29.97002997002997,33.472955,0.985559,8.323287010192871
video12.mp4,35.765,14808900,"(720, 1280)","(133.1911859809028, 131.02823567708333, 128.449306640625)",8,3176261,29.666666666666668,32.29264,0.971825,114.05338311195374
video13.mp4,11.703,2149093,"(576, 1024)","(104.94319831000433, 116.37119547526041, 122.70450337727864)",8,1327805,60.0,32.868354,0.982313,41.45272088050842
video15.mp4,10.048,4238614,"(1280, 720)","(122.53472005208333, 113.5716525607639, 106.60260416666667)",8,3367840,25.0,32.836092,0.976897,35.53842115402222
video2.mp4,308.06,25454576,"(640, 360)","(49.051822916666666, 113.80046440972222, 80.53950520833334)",8,524964,25.0,31.244762,0.924648,157.8804132938385
video4.mp4,6.23,453828,"(1280, 720)","(89.35453016493055, 68.02918728298611, 80.43493055555555)",8,447408,23.976023976023978,32.869064,0.986457,5.811986446380615
video3.mp4,117.967,5781663,"(1364, 768)","(20.64609298631476, 23.222278225806452, 22.034804954789834)",8,389400,30.0,28.258177,0.932917,84.95692276954651
video9.mp4,8.854,890992,"(960, 540)","(135.1705999228395, 125.1180999228395, 114.34840084876544)",8,796670,25.0,34.399796,0.989681,11.056844711303711
video6.mp4,9.195,1294384,"(1280, 720)","(103.20876193576389, 114.90417643229166, 113.62850477430555)",8,987420,29.97002997002997,31.342476,0.973163,12.558854341506958
