file_name,video_length,file_size,resolution,avg_rgb,bit_depth,bit_rate,frame_rate,psnr,ssim,encoding_time
video10.mp4,27.243,5223464,"(960, 540)","(144.80202160493826, 129.02172839506173, 113.0355401234568)",8,1526848,25.0,35.721426,0.98978,10.718896389007568
video8.mp4,12.679,1208950,"(1280, 576)","(133.21028917100696, 112.41805555555555, 108.06562771267362)",8,753704,30.0,28.897679,0.975375,4.146320581436157
video14.mp4,10.044,2246826,"(1024, 576)","(105.91846720377603, 102.8614281548394, 106.78262668185764)",8,1654002,29.97,31.587857,0.973154,4.683435678482056
video1.mp4,24.2,3460507,"(2732, 848)","(16.763065364374707, 16.85214931697008, 17.106125600845328)",8,1082071,30.0,27.050044,0.889536,16.165724277496338
video11.mp4,181.034,56376737,"(1280, 630)","(125.36598214285715, 129.17523685515874, 108.30269097222222)",8,2352209,30.0,33.292636,0.986331,97.44848704338074
video5.mp4,9.814,2570674,"(1280, 720)","(107.993798828125, 110.95273871527777, 120.1404296875)",8,1957467,29.97002997002997,31.244198,0.952757,5.533205032348633
video7.mp4,8.278,1244038,"(1280, 720)","(74.556083984375, 82.26698784722223, 107.26395833333333)",8,1192118,29.97002997002997,33.391546,0.983126,3.6842222213745117
video12.mp4,35.765,17181181,"(720, 1280)","(133.19497721354168, 131.01677408854167, 128.44147243923612)",8,3708555,29.666666666666668,32.127517,0.966283,29.133394718170166
video13.mp4,11.703,3367397,"(576, 1024)","(104.9181179470486, 116.3590833875868, 122.68197631835938)",8,2165759,60.0,32.701112,0.97875,13.780766487121582
video15.mp4,10.048,5160808,"(1280, 720)","(122.49939995659722, 113.570078125, 106.57926649305556)",8,4104250,25.0,32.696796,0.972579,6.586339235305786
video2.mp4,308.06,33842372,"(640, 360)","(49.002855902777775, 113.82075086805555, 80.50187934027778)",8,744196,25.0,31.139833,0.921909,71.01838946342468
video4.mp4,6.23,772127,"(1280, 720)","(89.35091037326389, 68.01379231770834, 80.45904947916667)",8,858677,23.976023976023978,32.840983,0.98543,2.2889819145202637
video3.mp4,117.967,10645498,"(1364, 768)","(20.64289409976784, 23.2173228632087, 22.030953117363147)",8,720898,30.0,28.262339,0.933195,45.95098805427551
video9.mp4,8.854,1567008,"(960, 540)","(135.11503472222222, 125.10254243827161, 114.3172800925926)",8,1410003,25.0,34.389761,0.9895,3.304373025894165
video6.mp4,9.195,1985271,"(1280, 720)","(103.20835611979167, 114.92181857638889, 113.63418077256945)",8,1591648,29.97002997002997,31.271313,0.971666,4.588460922241211
